seme,insieme,RMSE,SS,configurazione
4,train,0.00946081429719925,0.0852741003036499,M0 + temperature_std_rel
4,validation,0.006551702972501516,0.058476030826568604,M0 + temperature_std_rel
4,test_id,0.011005602777004242,0.0036447644233703613,M0 + temperature_std_rel
4,test_ood,0.008218314498662949,-0.044170379638671875,M0 + temperature_std_rel
5,train,0.010007573291659355,-0.023508548736572266,M0 + temperature_std_rel
5,validation,0.006568605545908213,0.05361175537109375,M0 + temperature_std_rel
5,test_id,0.010862222872674465,0.02943652868270874,M0 + temperature_std_rel
5,test_ood,0.008516665548086166,-0.1213599443435669,M0 + temperature_std_rel
0,train,0.010155375115573406,-0.05396425724029541,M0 + discharge_time_rel
0,validation,0.007845050655305386,-0.3499401807785034,M0 + discharge_time_rel
0,test_id,0.012581358663737774,-0.30209171772003174,M0 + discharge_time_rel
0,test_ood,0.009941043332219124,-0.5278116464614868,M0 + discharge_time_rel
1,train,0.009512641467154026,0.07522475719451904,M0 + discharge_time_rel
1,validation,0.006455261260271072,0.08599072694778442,M0 + discharge_time_rel
1,test_id,0.010691175237298012,0.05976289510726929,M0 + discharge_time_rel
1,test_ood,0.007721034809947014,0.07836931943893433,M0 + discharge_time_rel
2,train,0.010171497240662575,-0.05731332302093506,M0 + discharge_time_rel
2,validation,0.007667957805097103,-0.2896813154220581,M0 + discharge_time_rel
2,test_id,0.012029757723212242,-0.19042015075683594,M0 + discharge_time_rel
2,test_ood,0.012328961864113808,-1.3499517440795898,M0 + discharge_time_rel
3,train,0.009374432265758514,0.1019015908241272,M0 + discharge_time_rel
3,validation,0.0063972086645662785,0.10235625505447388,M0 + discharge_time_rel
3,test_id,0.010519455187022686,0.08972418308258057,M0 + discharge_time_rel
3,test_ood,0.007270917762070894,0.18269461393356323,M0 + discharge_time_rel
4,train,0.009606580249965191,0.05686992406845093,M0 + discharge_time_rel
4,validation,0.006393030285835266,0.10352843999862671,M0 + discharge_time_rel
4,test_id,0.010592622682452202,0.07701730728149414,M0 + discharge_time_rel
